TransactionID,OrderDate,SKU,ProductName,Category,Channel,Quantity,UnitPrice,Returned,CustomerCity,PaymentMethod,DiscountCode
T00022,2025-03-10,SKU-005,Gym Bottle Steel,Accessories,Facebook Ads,1,18.0,Yes,Karachi,card,NEWCUSTOMER
T00023,2025-03-08,SKU-015,Reusable Tote Bag,Accessories,Insta,1,14.0,No,KHI,Bank Transfer,
T00024,2025-01-17,SKU-003,Performance Sneakers White,Shoes ,google,1,85.0,No,Multan,card,FREESHIP
T00025,2025-01-22,SKU-010,Compression Shirt,Apparel ,Meta FB,1,38.0,No,Karachi,card,FREESHIP
T00026,2025-02-19,SKU-007,Wireless Earbuds Lite,Electronics,Facebook,2,65.0,No,Karachi,card,WELCOME10
T00027,2025-03-18,SKU-005,Gym Bottle Steel,Accessories,google,1,18.9,No,lahore,Bank Transfer,WELCOME10
T00028,2025-03-04,SKU-009,Running Shorts Navy,Apparel,Facebook,2,32.0,No,Rawalpindi,Card,FREESHIP
T00029,2025-01-27,SKU-013,Phone Tripod Mini,Electronics ,instagram,3,26.0,No,,Cash on Delivery,
T00030,2025-03-04,SKU-003,Performance Sneakers White,Shoes,Instagram,1,89.25,No,Lahore,card,NEWCUSTOMER
T00031,2025-01-18,SKU-013,Phone Tripod Mini,Electronics,Facebook Ads,1,26.0,No,Karachi,card,
T00032,2025-01-29,SKU-009,Running Shorts Navy,,Google,2,32.0,No,Karachi,Cash on Delivery,WELCOME10
T00033,2025-03-19,SKU-009,Running Shorts Navy,apparel,Google,2,32.0,No,,card,
T00034,2025-02-01,SKU-002,Urban Hoodie Grey,Apparel,Search,2,42.3,No,,card,
T00035,2025-02-28,SKU-010,Compression Shirt,Apparel,instagram,3,38.0,No,Multan,COD,
T00036,2025-03-14,SKU-009,Running Shorts Navy,Apparel,Instagram,1,32.0,No,Faisalabad,Cash on Delivery,
T00037,2025-02-22,SKU-007,Wireless Earbuds Lite,,google,1,61.75,No,Rawalpindi,Bank Transfer,
T00038,2025-02-24,SKU-015,Reusable Tote Bag,Accessories,IG,2,14.0,No,Islamabad,COD,WELCOME10
T00039,2025-03-09,SKU-008,Smart Watch Strap,,Direct,1,22.0,No,Lahore,Cash on Delivery,EIDSALE
T00040,2025-03-04,SKU-002,Urban Hoodie Grey,Apparel,Facebook Ads,1,44.65,No,lahore,Card,NEWCUSTOMER
T00041,2025-03-14,SKU-015,Reusable Tote Bag,Accessories,FB,1,13.3,No,,Bank Transfer,NEWCUSTOMER
T00042,2025-01-27,SKU-009,Running Shorts Navy,Apparel,Facebook,1,32.0,No,Faisalabad,,EIDSALE
T00043,2025-02-03,SKU-012,Laptop Sleeve 14 inch,Bags,Insta,1,25.2,No,Faisalabad,card,
T00044,2025-02-04,SKU-007,Wireless Earbuds Lite,electronics,Instagram,1,61.75,No,Lahore,,EIDSALE
T00045,2025-03-08,SKU-009,Running Shorts Navy,Apparel,Direct,4,30.4,No,Islamabad,Bank Transfer,FREESHIP
T00046,2025-03-12,SKU-001,Urban Hoodie Black,apparel,Facebook Ads,1,42.75,No,Lahore,COD,NEWCUSTOMER
T00047,2025-01-07,SKU-003,Performance Sneakers White,,IG,1,89.25,No,Islamabad,Bank Transfer,NEWCUSTOMER
T00048,2025-01-15,SKU-007,Wireless Earbuds Lite,Electronics,FB,1,68.25,No,Islamabad,card,WELCOME10
T00049,2025-01-09,SKU-004,Performance Sneakers Black,,google,1,79.2,No,lahore,COD,FREESHIP
T00050,2025-03-11,SKU-005,Gym Bottle Steel,Accessories,Direct,4,18.0,No,,card,
T00051,2025-01-05,SKU-002,Urban Hoodie Grey,apparel,Website,2,44.65,No,Islamabad,Card,FREESHIP
T00052,2025-02-20,SKU-009,Running Shorts Navy,Apparel,Search,1,32.0,No,Faisalabad,COD,
T00053,2025-01-13,SKU-006,Yoga Mat Premium,Fitness,Google,1,35.0,No,Islamabad,COD,
T00054,2025-03-05,SKU-015,Reusable Tote Bag,,facebook,1,13.3,No,KHI,COD,
T00055,2025-03-23,SKU-015,Reusable Tote Bag,Accessories,google,2,14.0,No,Faisalabad,Card,
T00056,2025-01-07,SKU-015,Reusable Tote Bag,Accessories,GAds,2,14.0,No,Islamabad,,
T00057,2025-02-26,SKU-001,Urban Hoodie Black,Apparel,Insta,1,45.0,No,KHI,Bank Transfer,WELCOME10
T00058,2025-02-07,SKU-011,Travel Backpack,Bags,Facebook,1,72.0,No,KHI,Bank Transfer,
T00059,2025-02-28,SKU-005,Gym Bottle Steel,Accessories ,GAds,1,18.9,No,Rawalpindi,,
T00060,2025-03-25,SKU-005,Gym Bottle Steel,Accessories,Facebook,1,17.1,No,KHI,card,NEWCUSTOMER
T00061,2025-01-13,SKU-013,Phone Tripod Mini,Electronics,IG,1,26.0,No,Multan,Card,FREESHIP
T00062,2025-02-28,SKU-002,Urban Hoodie Grey,Apparel,Meta FB,4,47.0,No,Rawalpindi,Cash on Delivery,WELCOME10
T00063,2025-03-18,SKU-001 ,Urban Hoodie Black,Apparel ,Google Ads,4,40.5,No,Rawalpindi,Cash on Delivery,EIDSALE
T00064,2025-02-23,SKU-008,Smart Watch Strap,Accessories,google,1,22.0,No,KHI,Bank Transfer,FREESHIP
T00065,2025-02-21,SKU-006,Yoga Mat Premium,Fitness,facebook,1,35.0,No,,Cash on Delivery,NEWCUSTOMER
T00066,2025-03-31,SKU-002,Urban Hoodie Grey,Apparel,Search,2,47.0,No,Multan,card,EIDSALE
T00067,2025-03-02,SKU-001,Urban Hoodie Black,Apparel,Google,1,47.25,No,Karachi,card,EIDSALE
T00068,2025-01-07,SKU-015,Reusable Tote Bag,Accessories,IG,1,12.6,No,Faisalabad,Cash on Delivery,WELCOME10
T00069,2025-03-21,SKU-009,Running Shorts Navy,Apparel,Google,1,33.6,No,Lahore,COD,WELCOME10
T00070,2025-03-23,SKU-015,Reusable Tote Bag,Accessories,Meta FB,1,13.3,No,Lahore,COD,WELCOME10
T00071,2025-02-26,SKU-010, Compression Shirt ,Apparel,Instagram Ads,1,38.0,No,Faisalabad,Card,WELCOME10
T00072,2025-02-08,SKU-015, Reusable Tote Bag ,Accessories,GAds,1,14.0,Yes,Multan,Card,FREESHIP
T00073,2025-01-10,SKU-013,Phone Tripod Mini,electronics,instagram,1,27.3,No,lahore,,EIDSALE
T00074,2025-03-17,SKU-005,Gym Bottle Steel,Accessories,Facebook Ads,2,18.0,No,Multan,Bank Transfer,
T00075,2025-01-14,SKU-003,Performance Sneakers White,Shoes,Meta FB,1,89.25,Yes,Multan,,EIDSALE
T00076,2025-02-08,SKU-012,Laptop Sleeve 14 inch,,IG,1,28.0,No,Karachi,Cash on Delivery,NEWCUSTOMER
T00077,2025-01-06,SKU-006,Yoga Mat Premium,Fitness,Google Ads,1,33.25,No,Karachi,Cash on Delivery,
T00078,2025-02-26,SKU-008,Smart Watch Strap,Accessories,IG,1,22.0,No,Multan,Card,NEWCUSTOMER
T00079,2025-03-26,SKU-015,Reusable Tote Bag,Accessories,Insta,1,12.6,No,Karachi,Bank Transfer,NEWCUSTOMER
T00080,2025-03-27,SKU-010,Compression Shirt,Apparel,,1,39.9,No,lahore,COD,WELCOME10
T00081,2025-01-13,SKU-007,Wireless Earbuds Lite,Electronics,instagram,1,65.0,No,Islamabad,,FREESHIP
T00082,2025-02-26,SKU-009,Running Shorts Navy,Apparel,google,1,32.0,No,lahore,card,EIDSALE
T00083,2025-01-21,SKU-013,Phone Tripod Mini,Electronics,Google Ads,2,26.0,No,Faisalabad,Card,WELCOME10
T00084,2025-02-25,SKU-002,Urban Hoodie Grey,Apparel,organic,2,47.0,No,Multan,Card,
T00085,2025-02-06,SKU-015,Reusable Tote Bag,,Insta,2,13.3,No,Islamabad,Cash on Delivery,
T00086,2025-01-31,SKU-005,Gym Bottle Steel,Accessories,facebook,,16.2,No,Rawalpindi,,WELCOME10
T00087,2025-03-15,SKU-006,Yoga Mat Premium,Fitness,Google,1,35.0,No,lahore,Card,
T00088,2025-02-15,SKU-012,Laptop Sleeve 14 inch,Bags,Facebook,2,29.4,No,lahore,,FREESHIP
T00089,2025-02-28,SKU-001,Urban Hoodie Black,Apparel,FB,2,45.0,No,Rawalpindi,Bank Transfer,EIDSALE
T00090,2025-02-04,SKU-002,Urban Hoodie Grey,Apparel,Instagram Ads,2,44.65,No,Karachi,,FREESHIP
T00091,2025-03-11,SKU-004,Performance Sneakers Black,Shoes,Facebook Ads,1,88.0,No,Multan,Cash on Delivery,FREESHIP
T00092,2025-01-10,SKU-010,Compression Shirt,,instagram,2,39.9,No,lahore,Card,WELCOME10
T00093,2025-02-19,SKU-015,Reusable Tote Bag,Accessories,FB,1,14.0,No,Rawalpindi,Card,
T00094,2025-03-13,SKU-002,Urban Hoodie Grey,Apparel,google,1,42.3,No,lahore,Card,
T00095,2025-01-09,SKU-008,Smart Watch Strap,Accessories,Facebook Ads,2,23.1,No,Islamabad,COD,FREESHIP
T00096,2025-03-12,SKU-002,Urban Hoodie Grey,Apparel,Google,1,49.35,No,Karachi,card,FREESHIP
T00097,2025-03-12,SKU-009,Running Shorts Navy,Apparel,FB,1,32.0,No,KHI,Bank Transfer,
T00098,2025-01-17,SKU-009,Running Shorts Navy,Apparel,Instagram,1,32.0,No,Lahore,Card,
T00099,2025-03-25,SKU-003,Performance Sneakers White,Shoes,instagram,1,80.75,No,,Bank Transfer,FREESHIP
T00100,2025-03-03,SKU-007,Wireless Earbuds Lite,Electronics,FB,1,68.25,No,Karachi,Bank Transfer,WELCOME10
T00101,2025-01-13,SKU-001,Urban Hoodie Black,Apparel,,1,45.0,No,lahore,card,EIDSALE
T00102,2025-02-28,SKU-015,Reusable Tote Bag,Accessories,Facebook Ads,1,14.0,No,,COD,EIDSALE
T00103,2025-02-21,SKU-001,Urban Hoodie Black,Apparel,IG,1,45.0,No,Islamabad,Card,FREESHIP
T00104,2025-02-16,SKU-011,Travel Backpack,Bags,Meta FB,1,72.0,Yes,KHI,COD,EIDSALE
T00105,2025-03-20,SKU-011,Travel Backpack,Bags,Facebook Ads,1,64.8,No,,Cash on Delivery,EIDSALE
T00106,2025-01-04,SKU-008, Smart Watch Strap ,Accessories,Meta FB,1,23.1,No,Rawalpindi,Card,NEWCUSTOMER
T00107,2025-02-10,SKU-006,Yoga Mat Premium,Fitness,Insta,1,31.5,No,Multan,,FREESHIP
T00108,2025-03-10,SKU-005,Gym Bottle Steel,Accessories,Facebook Ads,1,18.0,No,Rawalpindi,,
T00109,2025-02-05,SKU-004,Performance Sneakers Black,Shoes,instagram,1,83.6,No,Multan,card,
T00110,2025-03-10,SKU-004,Performance Sneakers Black,Shoes,IG,1,79.2,No,Karachi,card,EIDSALE
T00111,2025-01-01,SKU-015,Reusable Tote Bag,Accessories,Direct,1,13.3,No,Karachi,,NEWCUSTOMER
T00112,2025-01-05,SKU-015,Reusable Tote Bag,Accessories,FB,3,14.0,No,Lahore,Card,EIDSALE
T00113,2025-02-06,SKU-006,Yoga Mat Premium,Fitness,Search,1,35.0,No,Faisalabad,,WELCOME10
T00114,2025-03-28,SKU-012,Laptop Sleeve 14 inch,Bags,facebook,2,25.2,No,Lahore,Bank Transfer,FREESHIP
T00115,2025-02-08,SKU-008,Smart Watch Strap,Accessories,IG,1,23.1,No,Faisalabad,,
T00116,2025-01-29,SKU-003,Performance Sneakers White,Shoes,FB,1,76.5,No,Rawalpindi,,NEWCUSTOMER
T00117,2025-02-16,SKU-001,Urban Hoodie Black,Apparel,Instagram,2,40.5,No,lahore,Card,NEWCUSTOMER
T00118,2025-02-23,SKU-007,Wireless Earbuds Lite,Electronics,facebook,1,65.0,No,Multan,,
T00119,2025-03-02,SKU-001,Urban Hoodie Black,Apparel,Insta,2,47.25,No,,Card,
T00120,2025-02-14,SKU-002,Urban Hoodie Grey,Apparel,organic,1,49.35,No,,Cash on Delivery,FREESHIP
T00121,2025-02-05,SKU-003,Performance Sneakers White,Shoes ,Google,1,89.25,No,Lahore,card,NEWCUSTOMER
T00122,2025-01-06,SKU-005,Gym Bottle Steel,Accessories,FB,2,18.0,No,Multan,COD,EIDSALE
T00123,2025-02-22,SKU-005,Gym Bottle Steel,Accessories,Meta FB,2,18.0,No,KHI,Bank Transfer,
T00124,2025-03-10,SKU-007,Wireless Earbuds Lite,Electronics,GAds,2,65.0,No,Rawalpindi,Bank Transfer,WELCOME10
T00125,2025-02-17,SKU-002,Urban Hoodie Grey,Apparel,Google Ads,1,44.65,No,KHI,COD,FREESHIP
T00126,2025-01-02,SKU-003,Performance Sneakers White,Shoes,Facebook,2,80.75,No,Faisalabad,card,FREESHIP
T00127,2025-03-07,SKU-014,Desk Lamp LED,Home,Instagram Ads,2,40.0,No,Faisalabad,Cash on Delivery,NEWCUSTOMER
T00128,2025-02-12,SKU-004,Performance Sneakers Black,Shoes,Insta,1,92.4,No,lahore,COD,
T00129,2025-03-04,SKU-003,Performance Sneakers White,Shoes,Google,1,85.0,No,Islamabad,Card,WELCOME10
T00130,2025-03-27,SKU-015,Reusable Tote Bag,,organic,1,12.6,No,Faisalabad,Card,NEWCUSTOMER
T00131,2025-01-23,SKU-002,Urban Hoodie Grey,Apparel,FB,1,42.3,No,Rawalpindi,,WELCOME10
T00132,2025-03-25,SKU-012,Laptop Sleeve 14 inch,,facebook,1,26.6,No,,,EIDSALE
T00133,2025-03-09,SKU-015,Reusable Tote Bag,Accessories,Meta FB,1,14.0,No,Multan,Card,WELCOME10
T00134,2025-02-20,SKU-015,Reusable Tote Bag,Accessories,Meta FB,1,13.3,No,Karachi,Cash on Delivery,
T00135,2025-01-10,SKU-005,Gym Bottle Steel,Accessories,Search,1,18.0,Yes,,COD,
T00136,2025-02-07,sku-012,Laptop Sleeve 14 inch,Bags,Google,1,26.6,No,Faisalabad,card,EIDSALE
T00137,2025-02-25,SKU-006,Yoga Mat Premium,Fitness,Instagram Ads,1,35.0,No,,Card,
T00138,2025-03-15,SKU-008,Smart Watch Strap,Accessories,Google Ads,1,22.0,No,Multan,Bank Transfer,WELCOME10
T00139,2025-02-28,SKU-002,Urban Hoodie Grey,Apparel,facebook,1,42.3,No,Islamabad,Bank Transfer,EIDSALE
T00140,2025-01-23,SKU-015,Reusable Tote Bag,Accessories,Website,2,14.7,No,Karachi,Cash on Delivery,WELCOME10
T00141,2025-03-12,SKU-001,Urban Hoodie Black,,Google Ads,1,45.0,No,lahore,COD,
T00142,2025-02-24,SKU-012,Laptop Sleeve 14 inch,Bags,Meta FB,1,26.6,No,KHI,Cash on Delivery,
T00143,2025-03-27,SKU-005,Gym Bottle Steel,Accessories,Google,1,18.9,No,Faisalabad,COD,NEWCUSTOMER
T00144,2025-01-29,SKU-006,Yoga Mat Premium,,instagram,1,35.0,No,Karachi,Card,
T00145,2025-01-27,SKU-008,Smart Watch Strap,,Facebook,1,23.1,No,Lahore,Bank Transfer,
T00146,2025-02-01,SKU-007,Wireless Earbuds Lite,Electronics,IG,1,61.75,No,Rawalpindi,card,NEWCUSTOMER
T00147,2025-02-05,SKU-011,Travel Backpack,Bags,Google,1,64.8,No,Multan,Cash on Delivery,FREESHIP
T00148,2025-02-28,SKU-009,Running Shorts Navy,Apparel,GAds,3,28.8,No,KHI,card,FREESHIP
T00149,2025-03-04,SKU-009,Running Shorts Navy,Apparel,Google Ads,1,30.4,No,lahore,COD,WELCOME10
T00150,2025-03-05,SKU-005,Gym Bottle Steel,Accessories,Instagram Ads,1,18.0,No,lahore,Cash on Delivery,
T00151,2025-03-15,SKU-002,Urban Hoodie Grey,Apparel,GAds,1,47.0,No,Rawalpindi,Bank Transfer,
T00152,2025-02-26,SKU-013,Phone Tripod Mini,Electronics,FB,1,27.3,No,Rawalpindi,COD,
T00153,2025-01-22,SKU-005,Gym Bottle Steel,Accessories,GAds,1,16.2,No,Faisalabad,,WELCOME10
T00154,2025-02-11,SKU-013,Phone Tripod Mini,Electronics,google,1,23.4,No,,Cash on Delivery,
T00155,2025-03-04,SKU-005,Gym Bottle Steel,Accessories,Facebook,2,17.1,No,Rawalpindi,card,EIDSALE
T00156,2025-01-17,SKU-008,Smart Watch Strap,Accessories ,IG,2,22.0,Yes,lahore,Card,FREESHIP
T00157,2025-03-25,SKU-005,Gym Bottle Steel,Accessories,GAds,1,18.0,No,Rawalpindi,card,
T00158,2025-01-10,SKU-002,Urban Hoodie Grey,Apparel,facebook,1,49.35,No,Karachi,,
T00159,2025-02-18,SKU-012,Laptop Sleeve 14 inch,bags,Google Ads,1,29.4,No,Rawalpindi,,
T00160,2025-01-28,SKU-002,Urban Hoodie Grey,Apparel,Facebook,1,44.65,No,Faisalabad,,
T00161,2025-03-08,SKU-009,Running Shorts Navy,Apparel,facebook,1,32.0,No,Karachi,Cash on Delivery,
T00162,2025-03-14,SKU-006,Yoga Mat Premium,,Insta,2,35.0,Yes,Lahore,card,NEWCUSTOMER
T00163,2025-02-24,SKU-010,Compression Shirt,Apparel,Meta FB,1,38.0,No,,Cash on Delivery,
T00164,2025-02-09,SKU-010,Compression Shirt,Apparel,Google Ads,1,38.0,No,Islamabad,Card,
T00165,2025-02-14,SKU-008,Smart Watch Strap,Accessories,GAds,1,22.0,No,,Bank Transfer,NEWCUSTOMER
T00166,2025-01-10,SKU-007,Wireless Earbuds Lite,Electronics,Instagram,1,58.5,No,KHI,Card,
T00167,2025-02-16,SKU-005,Gym Bottle Steel,Accessories,Facebook,1,18.9,No,Karachi,Cash on Delivery,EIDSALE
T00168,2025-01-29,SKU-012,Laptop Sleeve 14 inch,Bags,organic,1,26.6,No,Faisalabad,Cash on Delivery,EIDSALE
T00169,2025-03-05,SKU-015,Reusable Tote Bag,accessories,Search,2,14.0,No,Lahore,Bank Transfer,
T00170,2025-02-09,SKU-002,Urban Hoodie Grey,Apparel,Insta,1,47.0,No,,,EIDSALE
T00171,2025-03-06,SKU-002,Urban Hoodie Grey,Apparel,Google,1,47.0,No,Multan,Bank Transfer,FREESHIP
T00172,2025-03-16,SKU-002,Urban Hoodie Grey,Apparel,facebook,1,44.65,No,Karachi,COD,
T00173,2025-01-28,SKU-013,Phone Tripod Mini,,Facebook,2,26.0,No,Islamabad,Card,FREESHIP
T00174,2025-01-13,SKU-007,Wireless Earbuds Lite,Electronics,Google Ads,1,65.0,No,Karachi,Cash on Delivery,NEWCUSTOMER
T00175,2025-01-09,SKU-003,Performance Sneakers White,Shoes,Google Ads,1,85.0,Yes,lahore,Card,FREESHIP
T00176,2025-01-24,SKU-004,Performance Sneakers Black,Shoes,Insta,1,79.2,No,,COD,FREESHIP
T00177,2025-03-22,SKU-015,Reusable Tote Bag,Accessories,Instagram,4,14.7,No,Islamabad,Card,EIDSALE
T00178,2025-02-05,SKU-001,Urban Hoodie Black,Apparel,,1,40.5,No,Lahore,COD,NEWCUSTOMER
T00179,2025-01-23,SKU-003,Performance Sneakers White,Shoes,IG,3,85.0,No,lahore,Cash on Delivery,EIDSALE
T00180,2025-03-19,SKU-003,Performance Sneakers White,Shoes,Instagram,1,76.5,No,Lahore,COD,NEWCUSTOMER
T00181,2025-03-09,SKU-013,Phone Tripod Mini,Electronics,Website,2,27.3,No,lahore,,EIDSALE
T00182,2025-03-20,SKU-012,Laptop Sleeve 14 inch,Bags,Meta FB,2,26.6,No,,Cash on Delivery,
T00183,2025-03-20,SKU-003,Performance Sneakers White,Shoes,Instagram Ads,1,89.25,Yes,Multan,card,
T00184,2025-02-02,SKU-012,Laptop Sleeve 14 inch,Bags,Google,1,29.4,No,lahore,Cash on Delivery,
T00185,2025-01-05,SKU-004,Performance Sneakers Black,Shoes,Facebook,1,88.0,No,lahore,,
T00186,2025-02-25,SKU-003,Performance Sneakers White,Shoes,FB,4,80.75,No,Lahore,card,NEWCUSTOMER
T00187,2025-01-01,SKU-006,Yoga Mat Premium,Fitness,Meta FB,1,35.0,Yes,,card,FREESHIP
T00188,2025-02-19,SKU-003,Performance Sneakers White,Shoes,GAds,1,85.0,No,Karachi,Card,
T00189,2025-03-17,SKU-003,Performance Sneakers White,Shoes,facebook,2,80.75,No,,,
T00190,2025-03-28,SKU-015,Reusable Tote Bag,Accessories,facebook,1,14.0,No,Islamabad,Cash on Delivery,EIDSALE
T00191,2025-01-12,SKU-005,Gym Bottle Steel,Accessories,IG,2,16.2,No,,COD,WELCOME10
T00192,2025-01-13,SKU-015,Reusable Tote Bag,Accessories,Instagram,2,12.6,No,Islamabad,Bank Transfer,FREESHIP
T00193,2025-01-05,SKU-005,Gym Bottle Steel,accessories,Google Ads,1,17.1,No,Faisalabad,card,
T00194,2025-02-08,SKU-015,Reusable Tote Bag,Accessories,IG,1,13.3,No,KHI,Bank Transfer,
T00195,2025-03-06,SKU-005,Gym Bottle Steel,Accessories,Search,2,18.0,No,Multan,,WELCOME10
T00196,2025-03-23,SKU-015,Reusable Tote Bag,Accessories,Google Ads,1,12.6,No,Faisalabad,,
T00197,2025-03-15,SKU-012,Laptop Sleeve 14 inch,Bags,FB,1,29.4,No,lahore,COD,
T00198,2025-03-19,SKU-012,Laptop Sleeve 14 inch,Bags,Facebook Ads,1,26.6,No,Karachi,Card,NEWCUSTOMER
T00199,2025-03-13,SKU-009,Running Shorts Navy,Apparel,IG,1,30.4,No,Faisalabad,COD,WELCOME10
T00200,2025-03-18,SKU-005,Gym Bottle Steel,Accessories,FB,2,18.9,No,Rawalpindi,Bank Transfer,
T00201,2025-03-02,SKU-015,Reusable Tote Bag,Accessories,Search,1,14.0,No,KHI,COD,
T00202,2025-01-29,SKU-011,Travel Backpack,Bags,Facebook Ads,1,64.8,No,Karachi,card,WELCOME10
T00203,2025-02-08,SKU-006,Yoga Mat Premium,Fitness,Google Ads,1,35.0,No,Islamabad,Card,FREESHIP
T00204,2025-01-08,SKU-001,Urban Hoodie Black,Apparel,FB,1,45.0,No,lahore,card,
T00205,2025-01-02,SKU-014,Desk Lamp LED,Home,Search,1,42.0,Yes,KHI,Cash on Delivery,EIDSALE
T00206,2025-02-07,SKU-006,Yoga Mat Premium,Fitness,instagram,1,36.75,No,,Card,WELCOME10
T00207,2025-01-03,SKU-008,Smart Watch Strap,Accessories,Facebook Ads,2,22.0,No,Karachi,,
T00208,2025-01-16,SKU-008,Smart Watch Strap,Accessories,Insta,1,23.1,No,Islamabad,card,
T00209,2025-01-14,SKU-007,Wireless Earbuds Lite,Electronics,IG,2,,No,lahore,Bank Transfer,WELCOME10
T00210,2025-03-15,SKU-010,Compression Shirt,Apparel,Facebook,2,38.0,No,lahore,Card,
T00211,2025-02-16,SKU-012,Laptop Sleeve 14 inch,Bags,Facebook,1,28.0,Yes,Faisalabad,,
T00212,2025-02-21,SKU-015,Reusable Tote Bag,Accessories,facebook,1,13.3,No,Islamabad,Card,FREESHIP
T00213,2025-02-26,SKU-003,Performance Sneakers White,Shoes,IG,1,89.25,No,lahore,Card,
T00214,2025-03-28,SKU-008,Smart Watch Strap,Accessories,Search,1,23.1,No,lahore,Bank Transfer,
T00215,2025-03-13,SKU-014,Desk Lamp LED,Home,Instagram,1,40.0,No,Multan,Bank Transfer,
T00216,2025-01-31,SKU-002,Urban Hoodie Grey,Apparel,instagram,1,44.65,No,KHI,Cash on Delivery,
T00217,2025-03-23,SKU-005,Gym Bottle Steel,Accessories,Insta,1,17.1,No,lahore,,
T00218,2025-03-26,SKU-003,Performance Sneakers White,,Facebook Ads,1,85.0,No,,Card,EIDSALE
T00219,2025-02-20,SKU-003,Performance Sneakers White,,Google Ads,2,85.0,No,Karachi,card,FREESHIP
T00220,2025-03-05,SKU-001,Urban Hoodie Black,Apparel,Search,3,40.5,No,Islamabad,Card,FREESHIP
T00221,2025-02-19,SKU-006,Yoga Mat Premium,Fitness,Insta,1,35.0,No,Faisalabad,,NEWCUSTOMER
T00222,2025-03-22,SKU-003,Performance Sneakers White,Shoes,Facebook Ads,1,89.25,Yes,Karachi,Bank Transfer,NEWCUSTOMER
T00223,2025-02-23,SKU-010,Compression Shirt,apparel,,1,36.1,No,Rawalpindi,Bank Transfer,WELCOME10
T00224,2025-01-08,SKU-010,Compression Shirt,Apparel,Meta FB,1,36.1,No,Rawalpindi,Cash on Delivery,
T00225,2025-02-19,SKU-006,Yoga Mat Premium,Fitness,GAds,3,35.0,Yes,Multan,Cash on Delivery,NEWCUSTOMER
T00226,2025-01-25,SKU-004,Performance Sneakers Black,Shoes,Facebook,1,88.0,No,Faisalabad,Card,EIDSALE
T00227,2025-02-11,SKU-008,Smart Watch Strap,Accessories,Search,2,22.0,No,Islamabad,Cash on Delivery,
T00228,2025-02-21,SKU-002,Urban Hoodie Grey,Apparel,FB,1,47.0,No,Lahore,Card,
T00229,2025-03-21,SKU-004,Performance Sneakers Black,Shoes,Facebook Ads,1,88.0,No,KHI,card,FREESHIP
T00230,2025-03-07,SKU-002,Urban Hoodie Grey,Apparel,Meta FB,1,49.35,Yes,KHI,,
T00231,2025-03-29,SKU-003,Performance Sneakers White,Shoes,IG,1,85.0,Yes,,card,
T00232,2025-01-16,SKU-008,Smart Watch Strap,Accessories,Search,1,23.1,No,Faisalabad,Cash on Delivery,
T00233,2025-03-26,SKU-001,Urban Hoodie Black,Apparel,FB,1,42.75,No,Multan,Card,NEWCUSTOMER
T00234,2025-03-15,SKU-008,Smart Watch Strap,Accessories,Instagram,1,23.1,No,Islamabad,COD,NEWCUSTOMER
